"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
4,1,113,14.788,6379346662,2779346662,1,0.2915888726711273,14.78287220001221,0.2580861747264862
3,2,114,5.73,6379346664,2779346664,-13,0.1110790371894836,5.582035541534424,-1.28896951675415
19,3,115,9.572000000000001,6379346667,2779346667,3,0.191846176981926,9.55695629119873,0.5009597539901733
4,4,115,6.772,6379346669,2779346669,-11,0.1334165036678314,6.646240234375,-1.292158484458923
40,5,116,9.478,6379346671,2779346671,5,0.1911466121673584,9.439998626708984,0.8260621428489685
2,6,117,8.384,6379346674,2779346674,-9,0.1690846681594849,8.279052734375,-1.311546564102173
24,7,118,9.512,6379346676,2779346676,7,0.1944245994091034,9.439096450805664,1.159221172332764
24,8,119,9.620000000000001,6379346678,2779346678,-7,0.1982982456684113,9.546235084533691,-1.172383069992065
27,9,120,9.545999999999999,6379346681,2779346681,9,0.197455033659935,9.42640495300293,1.493323445320129
33,10,120,9.586,6379346683,2779346683,-5,0.1999901086091995,9.547428131103516,-0.835474967956543
6,11,121,9.288,6379346685,2779346685,11,0.1925303637981415,9.115320205688477,1.772233963012695
40,12,122,9.568,6379346687,2779346687,-3,0.2034370005130768,9.55272102355957,-0.5007504224777222
7,13,123,7.954,6379346690,2779346690,13,0.1663637310266495,7.748353481292725,1.789260745048523
10,14,124,14.776,6379346692,2779346692,-1,0.3197097480297089,14.77028942108154,-0.2578767538070679
11,15,124,6.988,6379346694,2779346694,15,0.146070271730423,6.748309135437012,1.808627486228943
4,0,132,4.942,6379346715,2779346715,-15,0.1099662482738495,4.7723388671875,-1.279083728790283
4,1,133,14.774,6379346717,2779346717,1,0.3428640365600586,14.7677698135376,0.2578418552875519
4,2,134,5.722,6379346720,2779346720,-13,0.1303810179233551,5.5738205909729,-1.287169933319092
19,3,134,9.576000000000001,6379346722,2779346722,3,0.2236305475234985,9.560260772705078,0.5011691451072693
4,4,135,6.776,6379346724,2779346724,-11,0.1567079126834869,6.649659633636475,-1.292921781539917
40,5,136,9.460000000000001,6379346727,2779346727,5,0.2236716002225876,9.421346664428711,0.8244933485984802
2,6,137,8.388,6379346729,2779346729,-9,0.198077380657196,8.28236198425293,-1.312172293663025
23,7,138,9.504,6379346731,2779346731,7,0.2271807938814163,9.430422782897949,1.158246278762817
24,8,139,9.616,6379346733,2779346733,-7,0.2315233200788498,9.541515350341797,-1.171895623207092
26,9,139,9.544,6379346736,2779346736,9,0.2286651134490967,9.423723220825195,1.493010520935059
33,10,140,9.58,6379346738,2779346738,-5,0.2331696003675461,9.540696144104004,-0.8349519968032837
6,11,141,9.302,6379346740,2779346740,11,0.2246857583522797,9.128331184387207,1.774905323982239
40,12,142,9.57,6379346743,2779346743,-3,0.236830472946167,9.553949356079102,-0.5008550882339478
7,13,143,7.968,6379346745,2779346745,13,0.1937499344348907,7.761362552642822,1.792410016059875
5,14,144,14.756,6379346747,2779346747,-1,0.3707632124423981,14.7490930557251,-0.2575277090072632
11,15,144,6.988,6379346750,2779346750,15,0.1696253716945648,6.747757911682129,1.808627486228943
4,0,152,4.938,6379346770,2779346770,-15,0.1265216618776321,4.768063545227051,-1.278048396110535
4,1,153,14.752,6379346773,2779346773,1,0.3938237726688385,14.74449443817139,0.2574579119682312
4,2,154,5.716,6379346775,2779346775,-13,0.1496793776750565,5.567487716674805,-1.285820245742798
19,3,155,9.576000000000001,6379346777,2779346777,3,0.2586691379547119,9.559377670288086,0.5011691451072693
4,4,155,6.764,6379346780,2779346780,-11,0.1795999705791473,6.637296676635742,-1.290632009506226
40,5,156,9.464,6379346782,2779346782,5,0.2566653490066528,9.424491882324219,0.8248419761657715
2,6,157,8.372,6379346784,2779346784,-9,0.2265540361404419,8.265822410583496,-1.309669375419617
22,7,158,9.504,6379346786,2779346786,7,0.2600977122783661,9.429572105407715,1.158246278762817
25,8,159,9.618,6379346789,2779346789,-7,0.2648831009864807,9.542633056640625,-1.172139286994934
26,9,160,9.548,6379346791,2779346791,9,0.2633135616779327,9.42677116394043,1.493636250495911
33,10,160,9.58,6379346793,2779346793,-5,0.2664714157581329,9.539824485778809,-0.8349519968032837
6,11,161,9.276,6379346796,2779346796,11,0.2558311522006989,9.10197925567627,1.769944190979004
